Date/Time,Media Description,Media Link
"You uploaded a video on December 15, 2025 at 3:33 PM (GMT)", -,https://dms.licdn.com/playlist/vid/dynamic/D5605AQHjOyFlpX4BNA/CeJxzMjWLKs6sdPF29Cp2dNTVcQLzC0Iqy7wDXX1R-S4GaHwTNL4Fmn5XXQCRIR3U?e=1787191200&v=beta&t=kPslN2ww1wgd9d-5igGyQS3OK7rI7pEUUvRvnQEZVUY
"You uploaded a feed document on December 15, 2025 at 3:34 AM (GMT)", -,https://media.licdn.com/dms/document/media/v2/D561FAQEdEc7COAfLHQ/feedshare-document-url-metadata-scrapper-pdf/B56ZsgEoDqHAA0-/0/1765769644101?e=1787191200&v=beta&t=KHS6-llcJqw7djrxA96qZe5HJZ6BGGf45UVb0N21EnI
"You uploaded a video on December 13, 2025 at 1:10 PM (GMT)", -,https://dms.licdn.com/playlist/vid/dynamic/D5605AQG7qY_nC6FXaA/CeJxzMjWLKo4wzHTN8yp3jdTVcULmO6LxXdH4nmj8QF0AtR8XxA?e=1787191200&v=beta&t=qljxR42AElvQEk_oieCngr1pfyUel-1hEtZH-xj1IAw
"You uploaded a video on June 28, 2025 at 4:32 PM (GMT)", -,https://dms.licdn.com/playlist/vid/dynamic/D5605AQG6VWipU-h7Nw/CeJxzMjWLSjWOzDeM8rBw9dTVcULiu6Sj8bNR-a6uaHxfXQBrmxXQ?e=1787191200&v=beta&t=OuJViz6LcFoQchbsbkY9ks0EtC9rsxBDZUbz8ffO63Y
"You uploaded a feed photo on May 28, 2025 at 2:08 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQEhYOWywZ76tQ/feedshare-shrink_800/B56ZcUpjdrHgAk-/0/1748398128970?e=1788393600&v=beta&t=XtE0llrmk4odW3HTiZJFyepSk02b4fwT6Teq6yAQ3U8
"You uploaded a feed photo on May 27, 2025 at 8:11 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQGeOBm-Ht0XGg/feedshare-shrink_1280/B56ZcQy8OgHEAs-/0/1748333482350?e=1788393600&v=beta&t=67DXAddsU_h7ZXQnBJxMexQh9v3AdN4uP0eUK9V68GA
"You uploaded a video on May 23, 2025 at 1:48 AM (GMT)", -,https://dms.licdn.com/playlist/vid/dynamic/D5605AQHodqe_eAlj3A/CeJxzMjWLSstK9rCwdM93NNDVcQLyk8wMjEyTPPJdHNH4rmj8fDR-sS4AVDQVYA?e=1787191200&v=beta&t=9C_2ouANYOzkPKQCLgeO-ZCdELdIJmUYGbgIH9yfqy0
"You uploaded a feed photo on May 22, 2025 at 4:16 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQG06LhYONxuug/feedshare-shrink_20/B56Zb4yB2nHgA4-/0/1747930597882?e=1788393600&v=beta&t=l63t_Ef3nK66KG5OpCJuWnaLeMaNJahZJVeISBpi5Ws
"You uploaded a feed photo on May 22, 2025 at 4:16 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQF_foQ4On-mQQ/feedshare-shrink_480/B56Zb4yB2aHgAY-/0/1747930595464?e=1788393600&v=beta&t=V2pkASZg4OrOrTPpaJ2KLU85ZFZdGaE8iMKBGMzSHHo
"You uploaded a feed photo on May 22, 2025 at 4:16 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQEJIbez1qgK5w/feedshare-shrink_20/B56Zb4yB10GsA0-/0/1747930591713?e=1788393600&v=beta&t=SjXCR2KYy7lIGwLEtB-xxAplaU8csfl1wE9rHHl2QU8
"You uploaded a feed photo on May 22, 2025 at 4:16 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQFS7XJuIyJ5Xg/feedshare-image-high-res/B56Zb4yB1WHUAs-/0/1747930594429?e=1788393600&v=beta&t=rRlpxTwUTIEvrgTk_zrSerOpnDjljAjX7BKQ61gzELI
"You uploaded a feed photo on May 22, 2025 at 4:16 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQGXZlhJZsEYiA/feedshare-shrink_800/B56Zb4yB0vHoAg-/0/1747930592560?e=1788393600&v=beta&t=DMKBsRh0Phiqh_TfAgo-PXncriPCVNKvWBJ-5nLwce4
"You uploaded a feed photo on May 22, 2025 at 4:16 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQGBO8r7Uzmtgw/feedshare-shrink_480/B56Zb4yB0QHgAY-/0/1747930590381?e=1788393600&v=beta&t=musabo5bFUdqVC27e9Kuj_y9AE92a1nHpckZ26n9XFU
